keyword,1_sub,2_sub,3_sub,4_sub,5_sub,6_sub,7_sub
IT,0.0,-0.0044465748200085,-0.0050228016353638,0.0999144230600547,0.0830945820710339,0.115030156032048,0.0979003054453573
반도체,0.0,-0.0125407956192903,0.0433783090298642,0.1479305786761945,0.1585584361831659,0.1774261015200794,0.1701885164536182
반도체장비,0.0,-0.0106717356717357,0.0553182178824448,0.2445866282822804,0.1861657947565742,0.2726591019043849,0.2376267746531338
설비,0.0,0.0073996061382896,0.0755103591885662,0.2249890399261878,0.214706403701907,0.3087854208644324,0.2487016536163199
검사장비,0.0,-0.102142857142857,-0.156,-0.0247619047619048,-0.1526086956521739,-0.0561842105263158,-0.0325
후공정장비,0.0,0.0,0.4333333333333333,1.0,0.0,0.0,0.1166666666666666
전공정장비,0.0,0.0,0.0,1.0,0.65,0.8833333333333333,0.7833333333333333
반도체소재,0.0,-0.0391968884203247,-0.0025762749924797,0.0830931902302729,0.1337570030226774,0.1096156725716735,0.1529765350030986
반도체 제조,0.0,-0.0740325552825553,-0.034425248032843,-0.0033886158886159,0.1131863442389757,0.0909223509223508,0.0647174447174447
후공정,0.0,-0.0286020583190393,-0.0505454545454545,-0.0650717703349281,0.0753652597402597,0.1412878787878788,0.1230735930735931
전공정,0.0,-0.5145833333333334,-0.2196428571428571,-0.0556451612903225,-0.2925,-0.4694444444444444,-0.2759523809523808
idm,0.0,0.325,0.13,0.4333333333333333,0.35,0.5125,0.4333333333333333
반도체설계,0.0,0.0019090893722409,0.0742439324852143,0.1891269853355464,0.1144105258807738,0.1707173252187396,0.0667061337701889
IT서비스,0.0,-0.0044518773311695,-0.0170632619203971,0.0863833253187767,0.0752144725999125,0.0992768154816961,0.0843796347595998
네트워크및 인프라,0.0,-0.016953454560165,-0.0241362564314869,0.0855034878119146,0.0730326884750376,0.1075089100411104,0.0611037069909448
네트워크,0.0,0.0622447795319711,0.0077384623939558,0.1353671975571745,0.1067388765749792,0.0628973347592768,0.0245479371177065
인프라,0.0,-0.0129422916490171,-0.0310782877737483,0.0561713061676023,0.0660899193371347,0.1334260942768938,0.0707593939540989
서버,0.0,-0.0314666818708611,0.0424092933992764,0.1230366692090595,0.1352769085950008,0.1600124157172236,0.1389309040560615
클라우드,0.0,-0.0393973993424376,-0.0531583960694888,0.1262908146207513,0.0796850388357994,0.0733083499401948,0.0119293167546761
호스팅,0.0,0.1105,0.1843636363636364,0.198,0.198,0.1375833333333333,0.623
보안,0.0,0.1630662841779958,0.1073185210312075,0.0638628578419377,0.0463143466341759,0.2681327274518496,0.0807096447945078
암호화,0.0,0.0182644628099173,0.0679545454545455,0.0806318504190845,0.0978887559808612,0.1644389204545455,0.1492045454545455
인증,0.0,0.3949919630299376,0.0071154898741105,0.1061699948796722,0.0474603174603174,0.4543353174603174,0.1293121693121692
방어,0.0,0.0512258746588646,0.3320863062476882,0.0565498271948302,0.0961713826879913,0.2205661224260787,0.0664774183373745
해킹,0.0,0.0681421152030218,0.1345779220779221,0.0533752327746742,0.0168985924504159,0.0689148681055156,0.0632142857142857
플랫폼,0.0,-0.0176091590631123,0.0155590459484171,0.0685027574574894,0.047583867520655,0.0781849601297965,0.0604415747175954
고객지원,0.0,-0.0864285714285714,-0.0334285714285714,0.0625420168067227,0.1666269841269841,0.0402380952380951,0.1269047619047618
금융및결제서비스,0.0,-0.0036425033919011,-0.0174066875933545,0.0926934010677043,0.0775044686440369,0.0965978759702017,0.0946504101491312
금융,0.0,-0.0036855092271644,-0.0194138032750081,0.092006903525948,0.0655765525378999,0.0930656788403484,0.0824351241481559
결제,0.0,0.0252579776142198,0.0042540685753434,0.0981277108851906,0.078194294168513,0.1208825749183895,0.1439821562774879
은행,0.0,-0.0086982787332589,-0.0182024145891507,0.0952544656522373,0.0948822212426589,0.0997209705931273,0.1093634935408215
IT연구및개발,0.0,-0.0102760495742952,0.0289778798338453,0.1008311722918965,0.1019440344858298,0.0601056856966712,0.0986225392251609
빅데이터,0.0,0.0314229534885393,-0.0191450304249874,0.0569248578850281,0.2945015301864045,0.0987355069992668,0.0512733272147196
데이터베이스,0.0,0.0031187524990003,-0.1413934426229507,0.02674381227901,-0.1163934426229507,0.0389095876800795,0.0300977854472246
분석,0.0,0.0237554313467732,-0.0236370084432502,0.0603572387119862,0.3386587390448244,0.0752627823366358,0.0527477220956719
AI,0.0,0.0469241511571035,-0.0003921959177479,0.050056540201237,0.2688276793453065,0.155729666712385,0.0485776184072911
기타소프트웨어,0.0,-0.0154840310590473,-0.0215122164327802,0.0585504814744286,0.2293159190930828,0.180737630662021,0.0528876306620209
앱,0.0,-0.0484649122807016,-0.0948934837092731,-0.0301378446115287,0.3990350877192983,0.1488315253783314,0.0111869864534755
프로그램,0.0,-0.0068746946751344,-0.0104366895499619,0.0802421675191816,0.0556225296442687,0.1062567605534874,0.0605365769496203
전기와전자제품,0.0,-0.0080060892359047,0.0085593514486591,0.1053811419991591,0.0766555515445547,0.1190106646154638,0.1062221772654035
스마트폰및태블릿,0.0,0.0137726429095925,0.0065894863732731,0.15503997098458,0.0990949898175692,0.153206711444038,0.1185450244164884
모바일악세사리,0.0,0.325,0.0,0.4333333333333333,0.65,0.0,0.0
스마트폰,0.0,0.0135701745040379,0.0066439707154697,0.1547369410210353,0.0987206694759023,0.1533373263998665,0.1184750682722438
노트북 및 컴퓨터,0.0,0.0025051337407701,0.0435490027390663,0.1534594206874679,0.0945046563052154,0.1332900918721637,0.1341619842103846
